Наименование / ФИО,Тип субъекта,Категория,ИНН,Регион,Город,Населенный пункт,Дата включения в реестр,Наличие лицензий,Среднесписочная численность работников за предшествующий календарный год
"""КОРПОРАЦИЯ ВИТ"" (ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ)",Юридическое лицо,Малое предприятие,5038038838,50 - Московская область,,,01.08.2016,Нет,36.0
"""ХОЗРАСЧЕТНАЯ СТРОИТЕЛЬНО-ТЕХНОЛОГИЧЕСКАЯ ФИРМА ""ФОБОС"" ОБЩЕСТВО С ОГРАНИЧЕННОЙ ОТВЕТСТВЕННОСТЬЮ",Юридическое лицо,Среднее предприятие,5027006369,50 - Московская область,г Дзержинский,,01.08.2016,Да,201.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""777""",Юридическое лицо,Малое предприятие,1414006922,77 - г.Москва,,,10.08.2017,Да,35.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АГРОТЕХИМПОРТ""",Юридическое лицо,Малое предприятие,3327332190,33 - Владимирская область,г Владимир,,10.08.2022,Да,52.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКС""",Юридическое лицо,Малое предприятие,7816061297,78 - г.Санкт-Петербург,,,10.06.2022,Да,21.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АКЦИОНЕРНАЯ ПРОИЗВОДСТВЕННО-СТРОИТЕЛЬНАЯ КОМПАНИЯ ""ГАЗСТРОЙАВТОМАТИКА""",Юридическое лицо,Малое предприятие,3525048992,35 - Вологодская область,г Вологда,,10.08.2017,Нет,14.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АЛЕКСЕЕВСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА №1""",Юридическое лицо,Малое предприятие,3101000612,31 - Белгородская область,г Алексеевка,,10.08.2017,Да,20.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМБЕР-СТРОЙСЕРВИС""",Юридическое лицо,Малое предприятие,5902126804,59 - Пермский край,г Пермь,,10.08.2017,Да,30.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АМИРУС""",Юридическое лицо,Малое предприятие,523005733,05 - Республика Дагестан,,с Магарамкент,10.10.2021,Нет,34.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРОВАНА""",Юридическое лицо,Малое предприятие,5009106346,50 - Московская область,г Домодедово,,10.07.2023,Нет,
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСЕНАЛ""",Юридическое лицо,Среднее предприятие,7724745755,77 - г.Москва,,,10.07.2021,Да,67.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРСИ""",Юридическое лицо,Малое предприятие,504007693,05 - Республика Дагестан,,с Ахты,10.11.2022,Нет,29.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""АРХАНГЕЛЬСКГРАЖДАНРЕКОНСТРУКЦИЯ""",Юридическое лицо,Малое предприятие,2901030646,29 - Архангельская область,г Архангельск,,10.08.2017,Да,136.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАВАРСКИЙ ДОМ""",Юридическое лицо,Среднее предприятие,7709008852,77 - г.Москва,,,10.07.2023,Да,205.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЙКАЛСТРОЙГРАД""",Юридическое лицо,Среднее предприятие,3811167535,38 - Иркутская область,г Иркутск,,10.07.2023,Нет,208.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БАЛТИЙСКАЯ ИНЖИНИРИНГОВАЯ КОМПАНИЯ""",Юридическое лицо,Малое предприятие,7810255553,78 - г.Санкт-Петербург,,,10.08.2017,Да,11.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БЕЛОМОРСКАЯ ПЕРЕДВИЖНАЯ МЕХАНИЗИРОВАННАЯ КОЛОННА""""",Юридическое лицо,Малое предприятие,1011005108,10 - Республика Карелия,г Беломорск,,10.08.2017,Нет,54.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БИЛДИНГ""",Юридическое лицо,Малое предприятие,2310111297,23 - Краснодарский край,г Краснодар,,10.08.2017,Нет,15.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""БРЯНСКИЙ ПРОЕКТНО-ИЗЫСКАТЕЛЬСКИЙ ИНСТИТУТ ""БРЯНСКГИПРОВОДХОЗ""",Юридическое лицо,Малое предприятие,3250057750,32 - Брянская область,г Брянск,,10.08.2017,Да,8.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЕСТ КОНСТРАКШН""",Юридическое лицо,Среднее предприятие,7703595570,77 - г.Москва,,,10.08.2019,Нет,55.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИСКО""",Юридическое лицо,Малое предприятие,7813059155,78 - г.Санкт-Петербург,,,10.07.2021,Да,0.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВИШ ХОУМ ДЕВЕЛОПМЕНТ""",Юридическое лицо,Малое предприятие,7743373485,77 - г.Москва,,,10.01.2024,Нет,4.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВЛАДИМИР-СОЮЗПРОММОНТАЖ""",Юридическое лицо,Малое предприятие,3328412522,33 - Владимирская область,г Владимир,,10.08.2017,Да,64.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОЛС-СЕРВИС""",Юридическое лицо,Малое предприятие,7728135831,77 - г.Москва,,,10.09.2022,Нет,98.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ВОСТОЧНАЯ СИБИРЬ""",Юридическое лицо,Малое предприятие,2465006513,24 - Красноярский край,г Красноярск,,10.08.2017,Да,24.0
"АКЦИОНЕРНОЕ ОБЩЕСТВО ""ГЕНПОДРЯДНАЯ СТРОИТЕЛЬНАЯ ФИРМА ""КОНСОРЦИУМ ""ЗАПАДНЫЙ УРАЛ""",Юридическое лицо,Малое предприятие,5902115094,59 - Пермский край,г Пермь,,10.08.2017,Да,47.0
