ENN,2021ebit,2021payable,2021receivable,2022ebit,2022payable,2022receivable,2023ebit,2023payable,2023receivable,2024ebit,2024payable,2024receivable,2025ebit,2025payable,2025receivable
7327041840,-258313.0,0.0,3263.0,-165647.0,,1027.0,111926.0,56.0,1004.0,-8407.0,75.0,944.0,,,
7813392389,5704.0,,182.0,8690.0,,1975.0,-2567.0,,3635.0,-6347.0,5.0,9055.0,,,
6912009019,-13641.0,0.0,0.0,3079.0,0.0,0.0,8039.0,0.0,0.0,5261.0,0.0,0.0,1971.0,0.0,0.0
7801413683,55315.0,3339.0,41.0,146127.0,0.0,675.0,11526.0,,,4560.0,,,5208.0,743.0,28045.0
2365022832,-5107.0,,,-41520.0,,,3133.0,2652.0,,-20558.0,495.0,24.0,-17510.0,489.0,53.0
725022851,91641.0,,,76591.0,,,,,,,,,,,
7709628278,14437.0,28.0,78.0,3331.0,0.0,687.0,5503.0,,764.0,10892.0,460.0,898.0,-12389.0,0.0,461.0
7718973457,6310.0,,,7263.0,,,8243.0,,,9127.0,,,19583.0,3374.0,0.0
6319175743,1955.0,,,5151.0,,,11479.0,,,10863.0,,,21858.0,0.0,0.0
5406727420,387.0,,20.0,-2107.0,,12.0,294.0,,0.0,-9987.0,,,-5473.0,0.0,0.0
7743657222,2504.0,,,25.0,,,7693.0,,,2565.0,2332.0,4.0,8653.0,6703.0,653.0
7816235786,7471.0,0.0,0.0,14912.0,2006.0,0.0,44576.0,0.0,0.0,23927.0,0.0,0.0,29168.0,37.0,0.0
6166061070,7917.0,0.0,0.0,-7505.0,121.0,0.0,11306.0,0.0,0.0,,,,,,
7817012479,-3870.0,3662.0,128.0,1536.0,1322.0,10.0,1962.0,111.0,4.0,83.0,0.0,0.0,346.0,0.0,0.0
7204168124,7833.0,,0.0,17292.0,,0.0,24159.0,,0.0,6375.0,0.0,0.0,14371.0,0.0,0.0
7801710100,,,,20.0,,0.0,,,,,,,,,
7751026615,9450.0,4377.0,,30226.0,4085.0,,14426.0,9683.0,,8276.0,6147.0,,16760.0,8515.0,0.0
1828032010,355.0,0.0,0.0,51.0,0.0,0.0,-46.0,0.0,0.0,707.0,0.0,0.0,-3620.0,0.0,0.0
3257019986,-3497.0,0.0,,-7983.0,,,-292.0,,,62.0,,,-1583.0,0.0,38.0
7716968525,,,,109.0,,0.0,3300.0,,0.0,,,,,,
6501175891,5676.0,,0.0,-14640.0,,0.0,8237.0,0.0,0.0,13650.0,,0.0,35642.0,0.0,0.0
3316016933,61403.0,,2055.0,52737.0,,2618.0,-41997.0,,0.0,-15190.0,,0.0,0.0,0.0,0.0
6684005460,4054.0,,0.0,1058.0,0.0,0.0,382.0,,0.0,,,,,,
4205209843,1575.0,0.0,0.0,3822.0,0.0,0.0,5580.0,,0.0,9591.0,2225.0,0.0,3517.0,0.0,0.0
4028060536,7795.0,7069.0,15.0,-4644.0,10216.0,132.0,150312.0,8933.0,12047.0,419972.0,20207.0,37116.0,55170.0,21294.0,30347.0
6724007097,-6006.0,,1761.0,-19809.0,,2932.0,-463.0,,1280.0,-3124.0,,1063.0,-2144.0,0.0,2156.0
6325048334,621.0,0.0,0.0,1166.0,0.0,0.0,7884.0,,0.0,1759.0,,0.0,663.0,0.0,0.0
2337022044,75644.0,453.0,9.0,38555.0,1564.0,0.0,10210.0,1503.0,0.0,46356.0,1590.0,0.0,11303.0,4100.0,0.0
7806545676,7431.0,,,12175.0,,,25104.0,,,33051.0,,,29077.0,0.0,0.0
5005029010,1478.0,,,4681.0,,,8236.0,,,5326.0,,,-6936.0,0.0,0.0
1655361899,17313.0,0.0,0.0,40022.0,0.0,0.0,41957.0,,0.0,27748.0,,0.0,203.0,0.0,0.0
7802922852,,,,764.0,232.0,14.0,2103.0,960.0,358.0,,,,,,
3525426884,448.0,,0.0,1413.0,,0.0,47229.0,0.0,0.0,27675.0,0.0,0.0,5293.0,0.0,0.0
8602259703,-42199.0,1607.0,0.0,16360.0,937.0,,,,,,,,,,
5507263581,5168.0,,,7059.0,,,4572.0,,,1548.0,,,4358.0,0.0,0.0
2223620957,807.0,,0.0,766.0,,0.0,221.0,,0.0,-760.0,,0.0,-1495.0,0.0,0.0
5410009937,-6561.0,,0.0,,,,2724.0,,0.0,-7924.0,,0.0,13978.0,0.0,0.0
1901143888,10502.0,,,3161.0,,,,,,18928.0,,0.0,,,
4253025211,-10489.0,2743.0,22.0,-5666.0,1121.0,19.0,-11633.0,4311.0,342.0,-7257.0,2479.0,11027.0,-28416.0,0.0,22010.0
9729326504,,,,105368.0,207.0,,130143.0,0.0,1008.0,20915.0,,5829.0,45571.0,0.0,12989.0
7807196308,498.0,0.0,0.0,-849.0,,0.0,-106.0,,0.0,61.0,19.0,0.0,-28791.0,0.0,0.0
2801016951,75644.0,453.0,9.0,38555.0,1564.0,0.0,10210.0,1503.0,0.0,44766.0,0.0,0.0,11303.0,4100.0,0.0
2901258263,19163.0,0.0,,16210.0,,10.0,82985.0,,0.0,-78.0,,171.0,46125.0,0.0,202.0
5503174732,42.0,,0.0,266.0,,0.0,33.0,,0.0,1582.0,,0.0,,,
6330041775,11977.0,18069.0,1102.0,29718.0,12336.0,1114.0,8648.0,9624.0,1087.0,6870.0,9362.0,1695.0,8492.0,9327.0,1071.0
9109001979,-39845.0,,0.0,52990.0,,0.0,,,,,,,,,
276146864,7620.0,,,665.0,,,,,,,,,,,
4825100290,1302.0,,0.0,2218.0,0.0,0.0,8876.0,,0.0,27348.0,,0.0,29634.0,352.0,0.0
3702738997,1967.0,38.0,0.0,1548.0,0.0,0.0,6912.0,,0.0,8640.0,,37.0,-11876.0,0.0,82.0
278971502,,,,14.0,,,,,,,,,,,
2335010131,1471.0,0.0,,6215.0,144.0,,2754.0,0.0,11.0,5257.0,142.0,303.0,1974.0,62.0,13.0
7810671553,3349.0,1164.0,,4161.0,3784.0,0.0,10344.0,9211.0,0.0,16835.0,13647.0,0.0,15860.0,14630.0,0.0
5030048672,7460.0,6236.0,33.0,3253.0,3005.0,326.0,18020.0,17763.0,156.0,896.0,574.0,0.0,14370.0,14179.0,61.0
7430013692,6414.0,,,7470.0,,,2777.0,,601.0,2650.0,,1989.0,58397.0,0.0,2744.0
7706679588,1823.0,416.0,,2097.0,343.0,,3631.0,1762.0,,,,,,,
6369012582,,,,245.0,,0.0,453.0,0.0,0.0,1088.0,0.0,0.0,653.0,0.0,0.0
2223616911,3147.0,,0.0,4411.0,,0.0,2841.0,,0.0,23248.0,,0.0,56584.0,682.0,0.0
3662268580,2012.0,15.0,0.0,3100.0,15.0,0.0,4614.0,15.0,0.0,1096.0,0.0,0.0,,,
5403029837,10047.0,3274.0,0.0,24440.0,4356.0,0.0,38752.0,4980.0,0.0,6831.0,0.0,0.0,3001.0,0.0,0.0
6658472814,7087.0,,0.0,19037.0,,0.0,11492.0,,0.0,28723.0,,0.0,8628.0,0.0,0.0
7743289466,7101.0,,9.0,-18473.0,,0.0,,,,,,,,,
7805437646,18668.0,72.0,,3559.0,113.0,,21875.0,1366.0,,87344.0,1272.0,4158.0,20997.0,4014.0,0.0
3652007325,,,,-9574.0,,,0.0,,,,,,,,
5256137268,451291.0,0.0,8608.0,11849.0,,0.0,70677.0,,28292.0,212422.0,174.0,68606.0,178652.0,815.0,46533.0
7810532969,9615.0,,0.0,4834.0,,0.0,22060.0,,0.0,28749.0,,0.0,29113.0,0.0,0.0
4825098509,545.0,,0.0,516.0,,0.0,749.0,,0.0,1612.0,0.0,0.0,3684.0,0.0,0.0
3906262674,13399.0,456.0,,9531.0,1.0,0.0,-36132.0,0.0,0.0,,,,,,
9723045458,14881.0,1734.0,1585.0,24778.0,3328.0,1136.0,29781.0,8446.0,3757.0,18045.0,1964.0,7855.0,2676.0,7498.0,9804.0
7721828770,8223.0,148.0,0.0,23185.0,145.0,0.0,10771.0,242.0,0.0,43056.0,77.0,0.0,20934.0,0.0,0.0
